entry_type,canonical_term,alias,domain,source_system,note
vendor_context_link,sap_desc_5ff4b88e,MM_MARA_TEXTILE_COMP_IND,WRF_TEXTL_COMP_IND,SAP,auto-map via desc: Indicator: New Textile Composition Function
vendor_context_link,sap_desc_d3e65735,MM_MARA_CHML_CMPLNC_RLVNCE_IND,CHML_CMPLNC_RLVNCE_IND,SAP,auto-map via desc: Chemical Compliance Relevance Indicator
vendor_context_link,sap_desc_b537c448,MM_MARA_LOGISTICAL_MAT_CATEGORY,DO_LOGISTICAL_MAT_CATEGORY,SAP,auto-map via desc: Category of a Logistical Material
vendor_context_link,sap_desc_8a24ea41,MM_MARA_IDENTIFICATION_TAG_TYPE,IDENTIFICATIONTAGTYPE,SAP,auto-map via desc: Identification Tag Type
vendor_context_link,sap_desc_820a629d,MM_MARA_PRODUCTOID,PRODUCT_OID,SAP,auto-map via desc: Data element for OID of product
vendor_context_link,sap_desc_81e48ccb,MM_MARA_SGT_CSGR,SGT_CSGR,SAP,auto-map via desc: Segmentation Structure
vendor_context_link,sap_desc_7d77b88d,MM_MARA_SGT_COVSA,SGT_COVS,SAP,auto-map via desc: Segmentation Strategy
vendor_context_link,sap_desc_28727457,MM_MARA_SGT_SCOPE,SGT_SCOPE,SAP,auto-map via desc: Segmentation Strategy Scope
vendor_context_link,sap_desc_b653dea8,MM_MARA_SGT_REL,CHAR1,SAP,auto-map via desc: Segmentation Relevant
vendor_context_link,sap_desc_96523be6,MM_MARA_ANP,J_1BANP,SAP,auto-map via desc: ANP Code
vendor_context_link,sap_desc_83da9938,MM_MARA_PSM_CODE,WRF_PSM_CODE,SAP,auto-map via desc: Code of Protected Species Management
vendor_context_link,sap_desc_bb7312bb,MM_MARA_FSH_MG_AT1,FSH_MG_ATTRIBUTE1,SAP,auto-map via desc: Fashion Information Field: 1
vendor_context_link,sap_desc_16ba2a5b,MM_MARA_FSH_MG_AT2,FSH_MG_ATTRIBUTE2,SAP,auto-map via desc: Fashion Information Field: 2
vendor_context_link,sap_desc_21474f27,MM_MARA_FSH_MG_AT3,FSH_MG_ATTRIBUTE3,SAP,auto-map via desc: Fashion Information Field: 3
vendor_context_link,sap_desc_61e8c141,MM_MARA_DUMMY_PRD_INCL_EEW_PS,PRD_INCL_EEW,SAP,auto-map via desc: Dummy Field
vendor_context_link,sap_desc_2c08e5b1,MM_MARA_SCM_MATURITY_DUR,TSTRDURAG,SAP,auto-map via desc: Maturation Time
vendor_context_link,sap_desc_a6f9dac0,MM_MARA_SCM_PUOM,MEINS,SAP,auto-map via desc: Preferred Alternative UoM for Warehouse Operations
vendor_context_link,sap_desc_b9778524,MM_MARA_PROD_SHAPE,/SAPAPO/PROD_SHAPE,SAP,auto-map via desc: Product Shape
vendor_context_link,sap_desc_5848aaaf,MM_MARA_OVERHANG_TRESH,DEC03_2,SAP,auto-map via desc: Overhang Threshold [%]
vendor_context_link,sap_desc_1957468d,MM_MARA_BRIDGE_TRESH,DEC03_2,SAP,auto-map via desc: Bridge Threshold [%]
vendor_context_link,sap_desc_e9f27564,MM_MARA_BRIDGE_MAX_SLOPE,DEC03_2,SAP,auto-map via desc: Maximum Slope for Bridges [°]
vendor_context_link,sap_desc_52b216fc,MM_MARA_HEIGHT_NONFLAT,MENG13,SAP,auto-map via desc: Absolute Height Threshold for Stacking on Non-Flat
vendor_context_link,sap_desc_94a36c0e,MM_MARA_HEIGHT_NONFLAT_UOM,MEINS,SAP,auto-map via desc: UoM of Abs. Height Threshold (Stacking on Non-Flat
vendor_context_link,sap_desc_c24b799e,MM_MARA_SCM_KITCOMP,XFELD,SAP,auto-map via desc: Product for Kit-to-Order
vendor_context_link,sap_desc_41e00e33,MM_MARA_SCM_PROD_PAOOPT,XFELD,SAP,auto-map via desc: Product can be used for Procure-to-Order
vendor_context_link,sap_desc_77cae008,MM_MARA_SCM_BOD_DEPLVL,XFELD,SAP,auto-map via desc: Carry Out Push Deployment from Supplier
vendor_context_link,sap_desc_25659029,MM_MARA_SCM_RESTRICT_INVBAL,XFELD,SAP,auto-map via desc: Inventory Balancing Not Allowed
vendor_context_link,sap_desc_7b44fdc2,MM_MARA_SCM_EXCL_EXPEDITE,XFELD,SAP,auto-map via desc: Exclude from Express Shipment
vendor_context_link,sap_desc_39c5dfa6,MM_MARA_NEWPROD_INDI,XFELD,SAP,auto-map via desc: New Product
vendor_context_link,sap_desc_f9a8e6cf,MM_MARA_INV_PLN_MODE,ESPP_INV_PLN_MODE,SAP,auto-map via desc: eSPP: Inventory Planning via External Tool
vendor_context_link,sap_desc_a7f49239,MM_MARA_FLAGCLASS,/SAPAPO/FLGCLASS,SAP,auto-map via desc: Configuration Relevance of Product
vendor_context_link,sap_desc_7ee6a53f,MM_MARA_/CWM/XCWMAT,XFELD,SAP,auto-map via desc: Material Is Activated for CW
vendor_context_link,sap_desc_6e4cdf9c,MM_MARA_/CWM/TOLGR,/CWM/TOLGR,SAP,auto-map via desc: Tolerance Group for CWM
vendor_context_link,sap_desc_4cb0a5b6,MM_MARA_/BEV1/LULEINH,/BEV1/LULEINH,SAP,auto-map via desc: Loading Units
vendor_context_link,sap_desc_d574e537,MM_MARA_/BEV1/LULDEGRP,/BEV1/LULDEGRP,SAP,auto-map via desc: Loading Unit Group: IS Beverage
vendor_context_link,sap_desc_7b75ee3b,MM_MARA_/BEV1/NESTRUCCAT,/BEV1/NESTRUC_CAT,SAP,auto-map via desc: Structure Category for Material Relationship
vendor_context_link,sap_desc_720954ae,MM_MARA_/DSD/SV_CNT_GRP,/DSD/SV_COUNT_GROUP,SAP,auto-map via desc: Counting Group
vendor_context_link,sap_desc_03edf817,MM_MARA_/DSD/VC_GROUP,/DSD/VC_GROUP,SAP,auto-map via desc: DSD Grouping
vendor_context_link,sap_desc_bf83512f,MM_MARA_/SAPMP/KADU,/SAPMP/DURCHME,SAP,auto-map via desc: Cable Diameter
vendor_context_link,sap_desc_2b9c40e9,MM_MARA_/SAPMP/ABMEIN,MEINS,SAP,auto-map via desc: Unit for Dimensions
vendor_context_link,sap_desc_8dd39d73,MM_MARA_/SAPMP/KADP,/SAPMP/PROZENT,SAP,auto-map via desc: Cable Diameter Allowance in Percent
vendor_context_link,sap_desc_e64bf5e5,MM_MARA_/SAPMP/BRAD,/SAPMP/BRAD,SAP,auto-map via desc: Bending Factor
vendor_context_link,sap_desc_31c475e3,MM_MARA_/SAPMP/SPBI,/SAPMP/DIMENS,SAP,auto-map via desc: Inner Width
vendor_context_link,sap_desc_7eeb8877,MM_MARA_/SAPMP/TRAD,/SAPMP/DURCHME,SAP,auto-map via desc: Outer Diameter
vendor_context_link,sap_desc_661e059b,MM_MARA_/SAPMP/KEDU,/SAPMP/DURCHME,SAP,auto-map via desc: Core Diameter
vendor_context_link,sap_desc_8282a82c,MM_MARA_/SAPMP/SPTR,/SAPMP/GEWICHT,SAP,auto-map via desc: Load Capacity
vendor_context_link,sap_desc_f9740e22,MM_MARA_/SAPMP/FBDK,/SAPMP/DIMENS,SAP,auto-map via desc: Run-Out Flange Thickness
vendor_context_link,sap_desc_b26af382,MM_MARA_/SAPMP/FBHK,/SAPMP/DIMENS,SAP,auto-map via desc: R-O Flange Height
vendor_context_link,sap_desc_56d35766,MM_MARA_/SAPMP/RILI,XFELD,SAP,auto-map via desc: Coil Delivery
vendor_context_link,sap_desc_22afd348,MM_MARA_/SAPMP/FBAK,XFELD,SAP,auto-map via desc: Run-Out Flange
vendor_context_link,sap_desc_7900f9ff,MM_MARA_/SAPMP/AHO,NUMC3,SAP,auto-map via desc: Maximum Number of Vertical Layers
vendor_context_link,sap_desc_2ad4878e,MM_MARA_/SAPMP/MIFRR,/SAPMP/DIMENS,SAP,auto-map via desc: Smallest Permissible Reel Clearance for a Cable
vendor_context_link,sap_desc_dd41d3da,MM_MARA_/STTPEC/SERTYPE,/STTPEC/D_SERTYPE,SAP,auto-map via desc: Serialization Type
vendor_context_link,sap_desc_061a4b79,MM_MARA_/STTPEC/SYNCACT,XFELD,SAP,auto-map via desc: Synchronization Active
vendor_context_link,sap_desc_de6e206c,MM_MARA_/STTPEC/SYNCTIME,/STTPEC/D_TIMESTAMP_CONV,SAP,auto-map via desc: Synchronization Time Stamp
vendor_context_link,sap_desc_5ebe99d4,MM_MARA_/STTPEC/SYNCCHG,XFELD,SAP,auto-map via desc: Indicator Changed Since Integration
vendor_context_link,sap_desc_f25e51b3,MM_MARA_/STTPEC/COUNTRY_REF,/STTPEC/D_COUNTRY,SAP,auto-map via desc: Profile Relevant Country/Region
vendor_context_link,sap_desc_cc5099a0,MM_MARA_/VSO/R_TILT_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Material may be Tilted (Vehicle Space Optimization
vendor_context_link,sap_desc_f85f3155,MM_MARA_/VSO/R_STACK_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Stacking not Allowed (VSO)
vendor_context_link,sap_desc_130b2fa0,MM_MARA_/VSO/R_BOT_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Bottom Layer (Vehicle Space Optimization)
vendor_context_link,sap_desc_cdfa5c8e,MM_MARA_/VSO/R_TOP_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Top Layer (VSO)
vendor_context_link,sap_desc_0a1f71f8,MM_MARA_/VSO/R_PAL_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Load without Packaging Material (VSO)
vendor_context_link,sap_desc_1ce0e503,MM_MARA_/VSO/R_PAL_OVR_D,MENG13,SAP,auto-map via desc: Permissible Overhang (Depth) of Packaging Material
vendor_context_link,sap_desc_58db6057,MM_MARA_/VSO/R_PAL_OVR_W,MENG13,SAP,auto-map via desc: Permissible Overhang (Width) of Shipping Material 
vendor_context_link,sap_desc_435a29f3,MM_MARA_/VSO/R_PAL_B_HT,MENG13,SAP,auto-map via desc: Maximum Stacking Height of the Packaging Material 
vendor_context_link,sap_desc_631a6a80,MM_MARA_/VSO/R_PAL_MIN_H,MENG13,SAP,auto-map via desc: Minimum Stacking Height of the Packaging Material 
vendor_context_link,sap_desc_95b53dd9,MM_MARA_/VSO/R_TOL_B_HT,MENG13,SAP,auto-map via desc: Tolerance to Exceed the Max. Stacking Height (VSO)
vendor_context_link,sap_desc_60eafc79,MM_MARA_/VSO/R_NO_P_GVH,/VSO/M_ANZ_PER_GVH,SAP,auto-map via desc: Number of Materials for each Closed PKM (VSO)
vendor_context_link,sap_desc_ed2e2681,MM_MARA_/VSO/R_KZGVH_IND,/VSO/M_XFIELD,SAP,auto-map via desc: Closed Packaging Material Required (VSO)
vendor_context_link,sap_desc_56c57694,MM_MARA_PACKCODE,CBUND_PACOD,SAP,auto-map via desc: Packaging Code
vendor_context_link,sap_desc_522ae84e,MM_MARA_SRV_DURA,MENG13,SAP,auto-map via desc: Duration of Work
vendor_context_link,sap_desc_61bfa908,MM_MARA_SRV_SERWI,CRM_SRV_SERWI,SAP,auto-map via desc: Service Profile
vendor_context_link,sap_desc_ccd22e1d,MM_MARA_SRV_ESCAL,CRM_SRV_ESCAL,SAP,auto-map via desc: Response Profile
vendor_context_link,sap_desc_c4edc01b,MM_MARA_SOM_CYCLE,CYCLE_KK,SAP,auto-map via desc: Billing Cycle
vendor_context_link,sap_desc_49fb099d,MM_MARA_SOM_TC_SCHEMA,CRM_TC_ASSIGN_SCHEMA,SAP,auto-map via desc: Assignment Schema
vendor_context_link,sap_desc_00a689af,MM_MARA_SOM_CTR_AUTORENEWAL,CRMS4_SOM_CTR_AUTORENEWAL,SAP,auto-map via desc: Contract Auto Renewal Indicator
vendor_context_link,sap_desc_26f49b17,MM_MARA_MCOND,DFPS_MCOND,SAP,auto-map via desc: Material Condition Management
vendor_context_link,sap_desc_3cd8fb2a,MM_MARA_RETDELC,DFPS_RETDELC,SAP,auto-map via desc: Return Code
vendor_context_link,sap_desc_38499e88,MM_MARA_LOGLEV_RETO,DFPS_LOGLEV,SAP,auto-map via desc: Return to Logistics Level
vendor_context_link,sap_desc_8c3f4257,MM_MARA_NSNID,DFPS_NSNID,SAP,auto-map via desc: NATO Stock Number
vendor_context_link,sap_desc_4dcbec1f,MM_MARA_ICFA,DFS_ICFA,SAP,auto-map via desc: Interchangeability Code for Ammunition
vendor_context_link,sap_desc_d7beed81,MM_MARA_ADSPC_SPC,ADSPC_SPC,SAP,auto-map via desc: Spare Part Class Code
vendor_context_link,sap_desc_6c12e4a7,MM_MARA_VARID,SYSUUID,SAP,auto-map via desc: GUID Variable Object Identification
vendor_context_link,sap_desc_f66bc539,MM_MARA_TOLERANCE_TYPE,LMD_MDE_TOLERANCE_TYPE,SAP,auto-map via desc: Tolerance Type
vendor_context_link,sap_desc_4c738a41,MM_MARA_IMATN,MATNR,SAP,auto-map via desc: FFF class
vendor_context_link,sap_desc_535a423c,MM_MARA_PICNUM,PIC_PICNUM,SAP,auto-map via desc: Supersession chain number
vendor_context_link,sap_desc_7174e84d,MM_MARA_COLOR_ATINN,ATINN,SAP,auto-map via desc: Internal Charactieristic Number for Color Characte
vendor_context_link,sap_desc_28e434f2,MM_MARA_SIZE1_ATINN,ATINN,SAP,auto-map via desc: Internal Char. Number for Characteristics for Main
vendor_context_link,sap_desc_9fd716f3,MM_MARA_SIZE2_ATINN,ATINN,SAP,auto-map via desc: Internal Char. Number for Characteristics for Seco
vendor_context_link,sap_desc_0e2f5b0d,MM_MARA_CARE_CODE,WRF_CARE_CODE,SAP,"auto-map via desc: Care Codes (such as Washing Code, Ironing Code, et"
vendor_context_link,sap_desc_a3a041ba,MM_MARA_FIBER_CODE1,WRF_FIBER_CODE,SAP,auto-map via desc: Fiber Code for Textiles (Component 1)
