entry_type,canonical_term,alias,domain,source_system,note
field_alias,Absolute Height Threshold for Stacking on Non-Flat Surface,MM_MARA_HEIGHT_NONFLAT,MENG13,SAP,Auto-linked via description
field_alias,UoM of Abs. Height Threshold (Stacking on Non-Flat Surface),MM_MARA_HEIGHT_NONFLAT_UOM,MEINS,SAP,Auto-linked via description
field_alias,Product for Kit-to-Order,MM_MARA_SCM_KITCOMP,XFELD,SAP,Auto-linked via description
field_alias,Product can be used for Procure-to-Order,MM_MARA_SCM_PROD_PAOOPT,XFELD,SAP,Auto-linked via description
field_alias,Carry Out Push Deployment from Supplier,MM_MARA_SCM_BOD_DEPLVL,XFELD,SAP,Auto-linked via description
field_alias,Inventory Balancing Not Allowed,MM_MARA_SCM_RESTRICT_INVBAL,XFELD,SAP,Auto-linked via description
field_alias,Exclude from Express Shipment,MM_MARA_SCM_EXCL_EXPEDITE,XFELD,SAP,Auto-linked via description
field_alias,New Product,MM_MARA_NEWPROD_INDI,XFELD,SAP,Auto-linked via description
field_alias,eSPP: Inventory Planning via External Tool,MM_MARA_INV_PLN_MODE,ESPP_INV_PLN_MODE,SAP,Auto-linked via description
field_alias,Configuration Relevance of Product,MM_MARA_FLAGCLASS,/SAPAPO/FLGCLASS,SAP,Auto-linked via description
field_alias,Material Is Activated for CW,MM_MARA_/CWM/XCWMAT,XFELD,SAP,Auto-linked via description
field_alias,Tolerance Group for CWM,MM_MARA_/CWM/TOLGR,/CWM/TOLGR,SAP,Auto-linked via description
field_alias,Loading Units,MM_MARA_/BEV1/LULEINH,/BEV1/LULEINH,SAP,Auto-linked via description
field_alias,Loading Unit Group: IS Beverage,MM_MARA_/BEV1/LULDEGRP,/BEV1/LULDEGRP,SAP,Auto-linked via description
field_alias,Structure Category for Material Relationship,MM_MARA_/BEV1/NESTRUCCAT,/BEV1/NESTRUC_CAT,SAP,Auto-linked via description
field_alias,Counting Group,MM_MARA_/DSD/SV_CNT_GRP,/DSD/SV_COUNT_GROUP,SAP,Auto-linked via description
field_alias,DSD Grouping,MM_MARA_/DSD/VC_GROUP,/DSD/VC_GROUP,SAP,Auto-linked via description
field_alias,Cable Diameter,MM_MARA_/SAPMP/KADU,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Unit for Dimensions,MM_MARA_/SAPMP/ABMEIN,MEINS,SAP,Auto-linked via description
field_alias,Cable Diameter Allowance in Percent,MM_MARA_/SAPMP/KADP,/SAPMP/PROZENT,SAP,Auto-linked via description
field_alias,Bending Factor,MM_MARA_/SAPMP/BRAD,/SAPMP/BRAD,SAP,Auto-linked via description
field_alias,Inner Width,MM_MARA_/SAPMP/SPBI,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Outer Diameter,MM_MARA_/SAPMP/TRAD,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Core Diameter,MM_MARA_/SAPMP/KEDU,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Load Capacity,MM_MARA_/SAPMP/SPTR,/SAPMP/GEWICHT,SAP,Auto-linked via description
field_alias,Run-Out Flange Thickness,MM_MARA_/SAPMP/FBDK,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,R-O Flange Height,MM_MARA_/SAPMP/FBHK,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Coil Delivery,MM_MARA_/SAPMP/RILI,XFELD,SAP,Auto-linked via description
field_alias,Run-Out Flange,MM_MARA_/SAPMP/FBAK,XFELD,SAP,Auto-linked via description
field_alias,Maximum Number of Vertical Layers,MM_MARA_/SAPMP/AHO,NUMC3,SAP,Auto-linked via description
field_alias,Smallest Permissible Reel Clearance for a Cable,MM_MARA_/SAPMP/MIFRR,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Serialization Type,MM_MARA_/STTPEC/SERTYPE,/STTPEC/D_SERTYPE,SAP,Auto-linked via description
field_alias,Synchronization Active,MM_MARA_/STTPEC/SYNCACT,XFELD,SAP,Auto-linked via description
field_alias,Synchronization Time Stamp,MM_MARA_/STTPEC/SYNCTIME,/STTPEC/D_TIMESTAMP_CONV,SAP,Auto-linked via description
field_alias,Indicator Changed Since Integration,MM_MARA_/STTPEC/SYNCCHG,XFELD,SAP,Auto-linked via description
field_alias,Profile Relevant Country/Region,MM_MARA_/STTPEC/COUNTRY_REF,/STTPEC/D_COUNTRY,SAP,Auto-linked via description
field_alias,Material may be Tilted (Vehicle Space Optimization),MM_MARA_/VSO/R_TILT_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Stacking not Allowed (VSO),MM_MARA_/VSO/R_STACK_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Bottom Layer (Vehicle Space Optimization),MM_MARA_/VSO/R_BOT_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Top Layer (VSO),MM_MARA_/VSO/R_TOP_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Load without Packaging Material (VSO),MM_MARA_/VSO/R_PAL_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Permissible Overhang (Depth) of Packaging Material (VSO),MM_MARA_/VSO/R_PAL_OVR_D,MENG13,SAP,Auto-linked via description
field_alias,Permissible Overhang (Width) of Shipping Material (VSO),MM_MARA_/VSO/R_PAL_OVR_W,MENG13,SAP,Auto-linked via description
field_alias,Maximum Stacking Height of the Packaging Material (VSO),MM_MARA_/VSO/R_PAL_B_HT,MENG13,SAP,Auto-linked via description
field_alias,Minimum Stacking Height of the Packaging Material (VSO),MM_MARA_/VSO/R_PAL_MIN_H,MENG13,SAP,Auto-linked via description
field_alias,Tolerance to Exceed the Max. Stacking Height (VSO),MM_MARA_/VSO/R_TOL_B_HT,MENG13,SAP,Auto-linked via description
field_alias,Number of Materials for each Closed PKM (VSO),MM_MARA_/VSO/R_NO_P_GVH,/VSO/M_ANZ_PER_GVH,SAP,Auto-linked via description
field_alias,Closed Packaging Material Required (VSO),MM_MARA_/VSO/R_KZGVH_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Packaging Code,MM_MARA_PACKCODE,CBUND_PACOD,SAP,Auto-linked via description
field_alias,Duration of Work,MM_MARA_SRV_DURA,MENG13,SAP,Auto-linked via description
field_alias,Service Profile,MM_MARA_SRV_SERWI,CRM_SRV_SERWI,SAP,Auto-linked via description
field_alias,Response Profile,MM_MARA_SRV_ESCAL,CRM_SRV_ESCAL,SAP,Auto-linked via description
field_alias,Billing Cycle,MM_MARA_SOM_CYCLE,CYCLE_KK,SAP,Auto-linked via description
field_alias,Assignment Schema,MM_MARA_SOM_TC_SCHEMA,CRM_TC_ASSIGN_SCHEMA,SAP,Auto-linked via description
field_alias,Contract Auto Renewal Indicator,MM_MARA_SOM_CTR_AUTORENEWAL,CRMS4_SOM_CTR_AUTORENEWAL,SAP,Auto-linked via description
field_alias,Material Condition Management,MM_MARA_MCOND,DFPS_MCOND,SAP,Auto-linked via description
field_alias,Return Code,MM_MARA_RETDELC,DFPS_RETDELC,SAP,Auto-linked via description
field_alias,Return to Logistics Level,MM_MARA_LOGLEV_RETO,DFPS_LOGLEV,SAP,Auto-linked via description
field_alias,NATO Stock Number,MM_MARA_NSNID,DFPS_NSNID,SAP,Auto-linked via description
field_alias,Interchangeability Code for Ammunition,MM_MARA_ICFA,DFS_ICFA,SAP,Auto-linked via description
field_alias,Spare Part Class Code,MM_MARA_ADSPC_SPC,ADSPC_SPC,SAP,Auto-linked via description
field_alias,GUID Variable Object Identification,MM_MARA_VARID,SYSUUID,SAP,Auto-linked via description
field_alias,Tolerance Type,MM_MARA_TOLERANCE_TYPE,LMD_MDE_TOLERANCE_TYPE,SAP,Auto-linked via description
field_alias,FFF class,MM_MARA_IMATN,MATNR,SAP,Auto-linked via description
field_alias,Supersession chain number,MM_MARA_PICNUM,PIC_PICNUM,SAP,Auto-linked via description
field_alias,Internal Charactieristic Number for Color Characteristics,MM_MARA_COLOR_ATINN,ATINN,SAP,Auto-linked via description
field_alias,Internal Char. Number for Characteristics for Main Sizes,MM_MARA_SIZE1_ATINN,ATINN,SAP,Auto-linked via description
field_alias,Internal Char. Number for Characteristics for Second Sizes,MM_MARA_SIZE2_ATINN,ATINN,SAP,Auto-linked via description
field_alias,"Care Codes (such as Washing Code, Ironing Code, etc.)",MM_MARA_CARE_CODE,WRF_CARE_CODE,SAP,Auto-linked via description
field_alias,Fiber Code for Textiles (Component 1),MM_MARA_FIBER_CODE1,WRF_FIBER_CODE,SAP,Auto-linked via description
field_alias,Fiber Code for Textiles (Component 2),MM_MARA_FIBER_CODE2,WRF_FIBER_CODE,SAP,Auto-linked via description
field_alias,Fiber Code for Textiles (Component 3),MM_MARA_FIBER_CODE3,WRF_FIBER_CODE,SAP,Auto-linked via description
field_alias,Fiber Code for Textiles (Component 4),MM_MARA_FIBER_CODE4,WRF_FIBER_CODE,SAP,Auto-linked via description
field_alias,Fiber Code for Textiles (Component 5),MM_MARA_FIBER_CODE5,WRF_FIBER_CODE,SAP,Auto-linked via description
field_alias,Fashion Grade,MM_MARA_FASHGRD,FASHGRD,SAP,Auto-linked via description
field_alias,Maintenance status,MM_MARC_PSTAT,PSTAT,SAP,Auto-linked via description
field_alias,ABC Indicator,MM_MARC_MAABC,MAABC,SAP,Auto-linked via description
field_alias,Indicator: Critical part,MM_MARC_KZKRI,XFELD,SAP,Auto-linked via description
field_alias,Material: MRP profile,MM_MARC_DISPR,DISPR,SAP,Auto-linked via description
field_alias,MRP Type,MM_MARC_DISMM,DISMM,SAP,Auto-linked via description
field_alias,Indicator: MRP controller is buyer (deactivated),MM_MARC_KZDIE,XFELD,SAP,Auto-linked via description
field_alias,Period Indicator,MM_MARC_PERKZ,PERKZ,SAP,Auto-linked via description
field_alias,Assembly scrap in percent,MM_MARC_AUSSS,DEC3_2,SAP,Auto-linked via description
field_alias,Fixed lot size,MM_MARC_BSTFE,MENG13,SAP,Auto-linked via description
field_alias,Lot-Size-Independent Costs,MM_MARC_LOSFX,WERT11,SAP,Auto-linked via description
field_alias,Indicator for Individual and Collective Requirements,MM_MARC_SBDKZ,SBDKZ,SAP,Auto-linked via description
field_alias,Storage Costs Percentage Code,MM_MARC_LAGPR,LAGPR,SAP,Auto-linked via description
field_alias,Method for Selecting Alternative Bills of Material,MM_MARC_ALTSL,ALTSL,SAP,Auto-linked via description
field_alias,Discontinuation indicator,MM_MARC_KZAUS,KZAUS,SAP,Auto-linked via description
field_alias,Follow-Up Material,MM_MARC_NFMAT,MATNR,SAP,Auto-linked via description
field_alias,Indicator for Requirements Grouping,MM_MARC_KZBED,KZBED,SAP,Auto-linked via description
field_alias,Mixed MRP indicator,MM_MARC_MISKZ,MISKZ,SAP,Auto-linked via description
field_alias,Indicator: automatic fixing of planned orders,MM_MARC_PFREI,XFELD,SAP,Auto-linked via description
field_alias,Release indicator for production orders,MM_MARC_FFREI,XFELD,SAP,Auto-linked via description
field_alias,Indicator: Backflush,MM_MARC_RGEKZ,RGEKM,SAP,Auto-linked via description
field_alias,Production Supervisor,MM_MARC_FEVOR,FEVOR,SAP,Auto-linked via description
field_alias,Interoperation time,MM_MARC_TRANZ,DEC3_2,SAP,Auto-linked via description
field_alias,Base quantity,MM_MARC_BASMG,MENG13,SAP,Auto-linked via description
field_alias,In-house production time,MM_MARC_DZEIT,DEC3,SAP,Auto-linked via description
field_alias,Maximum Storage Period,MM_MARC_MAXLZ,DEC5,SAP,Auto-linked via description
field_alias,Unit for maximum storage period,MM_MARC_LZEIH,MEINS,SAP,Auto-linked via description
field_alias,Indicator: withdrawal of stock from production bin,MM_MARC_KZPRO,XFELD,SAP,Auto-linked via description
field_alias,Indicator: Material Included in Rough-Cut Planning,MM_MARC_GPMKZ,XFELD,SAP,Auto-linked via description
field_alias,Overdelivery tolerance limit,MM_MARC_UEETO,DEC2_1,SAP,Auto-linked via description
field_alias,Indicator: Unlimited Overdelivery Allowed,MM_MARC_UEETK,XFELD,SAP,Auto-linked via description
field_alias,Underdelivery tolerance limit,MM_MARC_UNETO,DEC2_1,SAP,Auto-linked via description
field_alias,Replacement part,MM_MARC_ATPKZ,ATPKZ,SAP,Auto-linked via description
field_alias,Surcharge factor for cost in percent,MM_MARC_VZUSL,DEC3_2,SAP,Auto-linked via description
field_alias,State of manufacture,MM_MARC_HERBL,HERBL,SAP,Auto-linked via description
field_alias,Post to Inspection Stock,MM_MARC_INSMK,QKZ,SAP,Auto-linked via description
field_alias,Sample for quality inspection (in %) (deactivated),MM_MARC_SPROZ,DEC2_1,SAP,Auto-linked via description
