wd_entity,wd_field,wd_type,wd_description
License_Identifier_DataType,Expiration_Date,date,Date the License ID expires.
License_Identifier_DataType,Verification_Date,date,Date the License ID was verified.
License_Identifier_DataType,Country_Reference,Country_ReferenceType,
License_Identifier_DataType,Country_Region_Reference,Country_Region_ReferenceType,
License_Identifier_DataType,Authority_Reference,Authority_ReferenceType,
Passport_Identifier_DataType,Passport_Number,string,Text attribute identifying Passport ID.
Passport_Identifier_DataType,Passport_Type_Reference,Passport_Type_ReferenceType,
Passport_Identifier_DataType,Country_Reference,Country_ReferenceType,Reference element representing the country.
Passport_Identifier_DataType,Issued_Date,date,Date the Passport ID was issued.
Passport_Identifier_DataType,Expiration_Date,date,Date the Passport ID expires.
Passport_Identifier_DataType,Verification_Date,date,Date the Passport ID was verified.
Organization_Visibility_Reference_DataType,Organization_Visibility_Name,string,Unique attribute name/description identifying a valid instance of Organization Visibility.
Organization_Subtype_Reference_DataType,Organization_Subtype_Name,string,Unique attribute name/description identifying a valid instance of Organization Subtype.
Employee_ReferenceType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,
Compensation_Element_ReferenceType,Compensation_Element_Name,string,Unique attribute name/description identifying a valid instance of Compensation Element.
System_User_DataType,User_Name,string,The user name the new user will use to sign on to Workday.
System_User_DataType,Session_Timeout_Minutes,,The number of minutes the user may be idle before the system requires them to re-enter their user name and password.
System_User_DataType,Account_Disabled,boolean,The user is prevented from signing on to the system.
System_User_DataType,Account_Expiration_Date,dateTime,The user will be prevented from signing on to the system after this date (Pacific Time).
System_User_DataType,Account_Locked,boolean,The user is prevented from signing on to the system until their account is unlocked.
System_User_DataType,Required_New_Password_At_Next_Login,boolean,The user will be required to change their password upon initial sign on.
System_User_DataType,Show_User_Name_in_Browser_Window,boolean,The web browser title will include the user name in parenthesis.
System_User_DataType,Display_XML_Icon_on_Reports,boolean,The user will be presented with an icon to view reports as an RSS feed.
System_User_DataType,Enable_Workbox,boolean,The user will have the Workbox tab available in the right-side slide-out.
System_User_DataType,Locale_Reference,LocaleObjectType,The local defines the user's language and country which will affect their experience in the Workday system.
System_User_DataType,User_Language_Reference,User_LanguageObjectType,"If set, specifies language for user. If not set, language specification taken from Locale_Reference parameter."
System_User_DataType,Preferred_Search_Scope_Reference,Unique_IdentifierObjectType,"If set, specifies the initial search category displayed to the user."
System_User_DataType,Delegated_Authentication_Integration_System_Reference,Integration_System__Audited_ObjectType,The user will be authenticated via an external system.
System_User_DataType,Delegated_Authentication_Configuration_Reference,Unique_IdentifierObjectType,The user will be authenticated using the delauth configuration.
System_User_DataType,Allow_Mixed-Language_Transactions,boolean,The user is allowed to view mixed language transactions.
System_User_DataType,Notification_Sub_Type_Configurations,Notification_Sub_Category_Configurations_for_UsersType,Notification Type Configurations for a particular user
System_User_DataType,Password,string,The initial password the user will sign on with.
System_User_DataType,Generate_Random_Password,boolean,The system should generate a random password for the user.
System_User_DataType,Exempt_from_Delegated_Authentication,boolean,"True when the user is exempt from Delegated Authentication, False otherwise. Set this element to true if you want the user to be exempt from delegated authentication."
System_User_DataType,Passcode_Exempt,boolean,"True when the user is exempt from One-Time Passcode Authentication, False otherwise. Set this element to true if you want the user to be exempt from one-time passcode authentication."
System_User_DataType,Passcode_Grace_Period_Enabled,boolean,"True when the user's One-Time Passcode grace period is enabled, False otherwise. Set this element to false if you want the user's one-time passcode grace period to be disabled."
System_User_DataType,Passcode_Grace_Period_Login_Remaining_Count,,The remaining number of times the user can login without providing a one-time passcode. This cannot be higher than the configured tenant maximum grace period login count.
System_User_DataType,OpenID_Identifier,string,This field is used for OpenID based authentication and contains the email address associated with the OpenID account. This value needs to be provided to enable OpenID authentication for this user.
System_User_DataType,OpenID_Internal_Identifier,string,This field is used for OpenID based authentication and contains the OpenID GUID. It will be unpopulated until the user completes an initial successful OpenID authentication attempt.
System_User_DataType,OpenID_Connect_Internal_Identifier,string,This field is used for OpenID Connect based authentication and contains the OpenID Connect subject. It will be unpopulated until the user completes an initial successful OpenID Connect authentication attempt.
System_User_DataType,Simplified_View,boolean,To enable user preferences that simplify the overall user experience.
Emergency_Contact_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,
Emergency_Contact_Data_WWSType,Language_Reference,Language_ReferenceType,
Emergency_Contact_Data_WWSType,Emergency_Contact_Priority_Reference,Emergency_Contact_Priority_ReferenceType,
Dependent_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,
Dependent_Data_WWSType,Dependent_Educational_Institution,string,Text attribute identifying name of Dependent's Educational Institution.
Dependent_Data_WWSType,Full-time_Student,boolean,Boolean attribute identifying whether Dependent is a Full-time Student.
Dependent_Data_WWSType,Student_Status_Start_Date,date,The date the dependent became a full-time student.
Dependent_Data_WWSType,Student_Status_End_Date,date,The date the dependent's student status ended (no longer a full-time student)
Dependent_Data_WWSType,Dependent_Date_of_Death,date,Date of Death of dependent.
Dependent_Data_WWSType,Disabled,boolean,Boolean attribute identifying whether Dependent is Disabled.
Dependent_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,
Beneficiary_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,
Beneficiary_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,Beneficiary Court Orders
Time_Profile_Reference_DataType,Time_Profile_Description,string,The time profile associated with the location. This ties to the time profile description that has been set up.
Compensation_Grade_ReferenceType,Compensation_Grade_Name,string,Unique attribute name/description identifying a valid instance of Compensation Grade.
Compensation_Package_ReferenceType,Compensation_Package_Name,string,Unique attribute name/description identifying a valid instance of Compensation Package.
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Compensation_Element_Reference,Compensation_Element_ReferenceType,
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Compensation_Element_Amount,,Amount of Compensation Element.
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Currency_Reference,Currency_Reference_DataType,
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Frequency_Reference,Frequency_Reference_DataType,
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Expected_End_Date,date,The expected end date of the plan assignment.
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Actual_End_Date,date,Actual End Date for the plan assignment.
Frequency_Reference_DataType,Frequency_Name,string,Unique attribute name/description identifying a valid instance of Frequency.
Position_ReferenceType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,
