concept_id,system,object_name,field_name,category,object_description,field_description,note
invoice.amount,Workday,CR_DIM_WORKER_IDENTIFIERS Total,,HR,,CR_DIM_WORKER_IDENTIFIERS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_COMPANIES,ID,HR,,CR_FCT_COMPANIES HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_COMPANIES Total,,HR,,CR_FCT_COMPANIES Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_COMPANIES_MDS,ID,HR,,CR_FCT_COMPANIES_MDS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_COMPANIES_MDS Total,,HR,,CR_FCT_COMPANIES_MDS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_COMPENSATION,ID,HR,,CR_FCT_COMPENSATION HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
absence.start_date,Workday,CR_FCT_COMPENSATION Total,,HR,,CR_FCT_COMPENSATION Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_COMPENSATION_PROCESSING,ID,HR,,CR_FCT_COMPENSATION_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
absence.start_date,Workday,CR_FCT_COMPENSATION_PROCESSING Total,,HR,,CR_FCT_COMPENSATION_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT,ID,HR,,CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
absence.start_date,Workday,CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT Total,,HR,,CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EMPLOYEE,ID,HR,,CR_FCT_EMPLOYEE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EMPLOYEE Total,,HR,,CR_FCT_EMPLOYEE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
absence.start_date,Workday,CR_FCT_EQUIFAX,ID_COMPANIES,HR,,CR_FCT_EQUIFAX HRDH datahub: int,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EQUIFAX Total,,HR,,CR_FCT_EQUIFAX Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS,ID,HR,,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS Total,,HR,,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING,ID,HR,,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING Total,,HR,,CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP,ID,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP Total,,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318,ID,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318 HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318 Total,,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318 Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING,ID,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING Total,,HR,,CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
