wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
Visa_Identifier_DataType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Visa_Identifier_DataType,Issued_Date,date,Date the Visa ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Visa_Identifier_DataType,Expiration_Date,date,Date the Visa ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Visa_Identifier_DataType,Verification_Date,date,Date the Visa ID was verified.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Custom_Identifier_DataType,Custom_ID,string,Text attribute identifying Custom ID.,unmapped,,,,,,
Custom_Identifier_DataType,Issued_Date,date,Date the Custom ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Custom_Identifier_DataType,Expiration_Date,date,Date the Custom ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Custom_Identifier_DataType,Custom_Description,string,Custom Description of the Custom ID.,unmapped,,,,,,
Government_Identifier_DataType,Government_ID,string,Text attribute identifying Government ID.,strong_canonical_candidate,,,employee.national_id,0.800,national id number,1.000
Government_Identifier_DataType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Government_Identifier_DataType,Issued_Date,date,Date the Government ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Government_Identifier_DataType,Expiration_Date,date,Date the Government ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Government_Identifier_DataType,Verification_Date,date,Date the Government ID was verified.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
License_Identifier_DataType,License_ID,string,Text attribute identifying License ID.,unmapped,,,,,,
License_Identifier_DataType,License_Class,string,Text attribute identifying License Class.,unmapped,,,,,,
License_Identifier_DataType,Issued_Date,date,Date the License ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
License_Identifier_DataType,Expiration_Date,date,Date the License ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
