wd_table,wd_column,wd_type,wd_max_length,wd_is_identity,wd_is_nullable,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
CR_FCT_PN_BILLING_EMPLOYEES_DETAILED Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_PN_BILLING_LMS_HEADCOUNT_DETAILED Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_PN_BILLING_PERFORMANCE_DETAILED Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_PN_BILLING_REQUISITIONS_DETAILED Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_PN_BILLING_SUCCESSION_DETAILED Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT_BAK_INT_CHANGE_20250629 Total,,,,False,False,weak_canonical_candidate,,,absence.end_date,0.500,compensation.base_salary,0.550
CR_FCT_POSITION_ASSIGNMENT_CURRENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT_CURRENT_HRDX Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT_CURRENT_SNAPSHOT_HRDX Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT_HRDX_CURRENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_POSITION_ASSIGNMENT_INCL_JOB_MGMT_CURRENT Total,,,,False,False,weak_canonical_candidate,,,employee.position,0.500,gross amount,0.550
CR_FCT_REQUISITION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_SUCCESSION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_TALENT_CONFIRMATION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_TO Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_TO_BALANCE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_TO_BALANCE_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_TO_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_MDI_PERFORMANCE_TEMPLATE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_Preformance_Template_Hierarchy Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
Grand Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
